
CodeIgniter v4.7.4 Command Line Tool - Server Time: 2026-08-24 20:29:30 UTC+07:00

+--------+----------------------------------------------------+------+----------------------------------------------------------------+-------------------------------------------------------------------------------------------+--------------------------------------------------------------------------------------+
| Method | Route                                              | Name | Handler                                                        | Before Filters                                                                            | After Filters                                                                        |
| POST   | po/hapusDraftPo                                    | »    | \App\Controllers\Po::hapusDraftPo                              | featureMaintenance csrf filterAdmin FilterPimpinan filterKasir filterGudang touchActivity | csrfTokenResponse activityLogger filterKasir filterGudang                            |
| POST   | po/ambilDataBarang                                 | »    | \App\Controllers\Po::ambilDataBarang                           | featureMaintenance csrf filterAdmin FilterPimpinan filterKasir filterGudang touchActivity | csrfTokenResponse activityLogger filterKasir filterGudang                            |
| POST   | po/listDataBarang                                  | »    | \App\Controllers\Po::listDataBarang                            | featureMaintenance csrf filterAdmin FilterPimpinan filterKasir filterGudang touchActivity | csrfTokenResponse activityLogger filterKasir filterGudang                            |
| POST   | po/simpanItem                                      | »    | \App\Controllers\Po::simpanItem                                | featureMaintenance csrf filterAdmin FilterPimpinan filterKasir filterGudang touchActivity | csrfTokenResponse activityLogger filterKasir filterGudang                            |
| POST   | po/selesaiTransaksi                                | »    | \App\Controllers\Po::selesaiTransaksi                          | featureMaintenance csrf filterAdmin FilterPimpinan filterKasir filterGudang touchActivity | csrfTokenResponse activityLogger filterKasir filterGudang                            |
| POST   | po/hapusItem                                       | »    | \App\Controllers\Po::hapusItem                                 | featureMaintenance csrf filterAdmin FilterPimpinan filterKasir filterGudang touchActivity | csrfTokenResponse activityLogger filterKasir filterGudang                            |
| POST   | po/modalPo                                         | »    | \App\Controllers\Po::modalPo                                   | featureMaintenance csrf filterAdmin FilterPimpinan filterKasir filterGudang touchActivity | csrfTokenResponse activityLogger filterKasir filterGudang                            |
| POST   | po/ambilTotalBerat                                 | »    | \App\Controllers\Po::ambilTotalBerat                           | featureMaintenance csrf filterAdmin FilterPimpinan filterKasir filterGudang touchActivity | csrfTokenResponse activityLogger filterKasir filterGudang                            |
| POST   | po/ambilTotalHarga                                 | »    | \App\Controllers\Po::ambilTotalHarga                           | featureMaintenance csrf filterAdmin FilterPimpinan filterKasir filterGudang touchActivity | csrfTokenResponse activityLogger filterKasir filterGudang                            |
| POST   | po/tampilDataDetail                                | »    | \App\Controllers\Po::tampilDataDetail                          | featureMaintenance csrf filterAdmin FilterPimpinan filterKasir filterGudang touchActivity | csrfTokenResponse activityLogger filterKasir filterGudang                            |
| POST   | po/hapusItemDetail                                 | »    | \App\Controllers\Po::hapusItemDetail                           | featureMaintenance csrf filterAdmin FilterPimpinan filterKasir filterGudang touchActivity | csrfTokenResponse activityLogger filterKasir filterGudang                            |
| POST   | po/editItem                                        | »    | \App\Controllers\Po::editItem                                  | featureMaintenance csrf filterAdmin FilterPimpinan filterKasir filterGudang touchActivity | csrfTokenResponse activityLogger filterKasir filterGudang                            |
| POST   | po/updateNopo                                      | »    | \App\Controllers\Po::updateNopo                                | featureMaintenance csrf filterAdmin FilterPimpinan filterKasir filterGudang touchActivity | csrfTokenResponse activityLogger filterKasir filterGudang                            |
| POST   | po/updatePelanggan                                 | »    | \App\Controllers\Po::updatePelanggan                           | featureMaintenance csrf filterAdmin FilterPimpinan filterKasir filterGudang touchActivity | csrfTokenResponse activityLogger filterKasir filterGudang                            |
| POST   | po/simpanItemDetail                                | »    | \App\Controllers\Po::simpanItemDetail                          | featureMaintenance csrf filterAdmin FilterPimpinan filterKasir filterGudang touchActivity | csrfTokenResponse activityLogger filterKasir filterGudang                            |
| POST   | po/reopenCloseLog                                  | »    | \App\Controllers\Po::reopenCloseLog                            | featureMaintenance csrf filterAdmin FilterPimpinan filterKasir filterGudang touchActivity | csrfTokenResponse activityLogger filterKasir filterGudang                            |
| POST   | po/koreksiQtyItem                                  | »    | \App\Controllers\Po::koreksiQtyItem                            | featureMaintenance csrf filterAdmin FilterPimpinan filterKasir filterGudang touchActivity | csrfTokenResponse activityLogger filterKasir filterGudang                            |
| POST   | invoiceIn/simpanFileInvoice/([0-9]+)               | »    | \App\Controllers\InvoiceIn::simpanFileInvoice/$1               | featureMaintenance csrf filterAdmin FilterPimpinan filterKasir filterGudang touchActivity | csrfTokenResponse activityLogger filterKasir filterGudang                            |
| POST   | invoiceIn/hapusFileInvoice/([0-9]+)                | »    | \App\Controllers\InvoiceIn::hapusFileInvoice/$1                | featureMaintenance csrf filterAdmin FilterPimpinan filterKasir filterGudang touchActivity | csrfTokenResponse activityLogger filterKasir filterGudang                            |
| POST   | invoiceIn/simpanBuktiTransfer/([0-9]+)             | »    | \App\Controllers\InvoiceIn::simpanBuktiTransfer/$1             | featureMaintenance csrf filterAdmin FilterPimpinan filterKasir filterGudang touchActivity | csrfTokenResponse activityLogger filterKasir filterGudang                            |
| POST   | invoiceIn/cancel/([0-9]+)                          | »    | \App\Controllers\InvoiceIn::cancel/$1                          | featureMaintenance csrf filterAdmin FilterPimpinan filterKasir filterGudang touchActivity | csrfTokenResponse activityLogger filterKasir filterGudang                            |
| POST   | invoiceIn/hapus/([0-9]+)                           | »    | \App\Controllers\InvoiceIn::hapus/$1                           | featureMaintenance csrf filterAdmin FilterPimpinan filterKasir filterGudang touchActivity | csrfTokenResponse activityLogger filterKasir filterGudang                            |
| POST   | invoiceOut/save                                    | »    | \App\Controllers\InvoiceOut::save                              | featureMaintenance csrf filterAdmin FilterPimpinan filterKasir filterGudang touchActivity | csrfTokenResponse activityLogger filterKasir filterGudang                            |
| POST   | invoiceOut/simpanPembayaran                        | »    | \App\Controllers\InvoiceOut::simpanPembayaran                  | featureMaintenance csrf filterAdmin FilterPimpinan filterKasir filterGudang touchActivity | csrfTokenResponse activityLogger filterKasir filterGudang                            |
| POST   | invoiceOut/tandaiLunas/([0-9]+)                    | »    | \App\Controllers\InvoiceOut::tandaiLunas/$1                    | featureMaintenance csrf filterAdmin FilterPimpinan filterKasir filterGudang touchActivity | csrfTokenResponse activityLogger filterKasir filterGudang                            |
| POST   | invoiceOut/cancel/([0-9]+)                         | »    | \App\Controllers\InvoiceOut::cancel/$1                         | featureMaintenance csrf filterAdmin FilterPimpinan filterKasir filterGudang touchActivity | csrfTokenResponse activityLogger filterKasir filterGudang                            |
| POST   | invoiceOut/hapus/([0-9]+)                          | »    | \App\Controllers\InvoiceOut::hapus/$1                          | featureMaintenance csrf filterAdmin FilterPimpinan filterKasir filterGudang touchActivity | csrfTokenResponse activityLogger filterKasir filterGudang                            |
| POST   | invoiceHub/reporting                               | »    | \App\Controllers\InvoiceHub::reporting                         | featureMaintenance csrf filterAdmin FilterPimpinan filterKasir filterGudang touchActivity | csrfTokenResponse activityLogger filterKasir filterGudang                            |
| POST   | logaktivitas/simpanEmailPenerima                   | »    | \App\Controllers\LogAktivitas::simpanEmailPenerima             | featureMaintenance csrf filterAdmin FilterPimpinan filterKasir filterGudang touchActivity | csrfTokenResponse activityLogger                                                     |
| POST   | users/simpanakses                                  | »    | \App\Controllers\Users::simpanakses                            | featureMaintenance csrf filterAdmin FilterPimpinan filterKasir filterGudang touchActivity | csrfTokenResponse activityLogger filterKasir filterGudang                            |
| POST   | produksi/update                                    | »    | \App\Controllers\Produksi::update                              | featureMaintenance csrf filterAdmin FilterPimpinan filterKasir filterGudang touchActivity | csrfTokenResponse activityLogger filterGudang                                        |
| POST   | baranghabispakai/simpanBarang                      | »    | \App\Controllers\BarangHabisPakai::simpanBarang                | featureMaintenance csrf filterAdmin FilterPimpinan filterKasir filterGudang touchActivity | csrfTokenResponse activityLogger filterAdmin FilterPimpinan filterKasir filterGudang |
| POST   | baranghabispakai/terimaBarangVendor                | »    | \App\Controllers\BarangHabisPakai::terimaBarangVendor          | featureMaintenance csrf filterAdmin FilterPimpinan filterKasir filterGudang touchActivity | csrfTokenResponse activityLogger filterAdmin FilterPimpinan filterKasir filterGudang |
| POST   | baranghabispakai/simpanPermintaan                  | »    | \App\Controllers\BarangHabisPakai::simpanPermintaan            | featureMaintenance csrf filterAdmin FilterPimpinan filterKasir filterGudang touchActivity | csrfTokenResponse activityLogger filterAdmin FilterPimpinan filterKasir filterGudang |
| POST   | baranghabispakai/setujui/([0-9]+)                  | »    | \App\Controllers\BarangHabisPakai::setujui/$1                  | featureMaintenance csrf filterAdmin FilterPimpinan filterKasir filterGudang touchActivity | csrfTokenResponse activityLogger filterAdmin FilterPimpinan filterKasir filterGudang |
| POST   | baranghabispakai/tolak/([0-9]+)                    | »    | \App\Controllers\BarangHabisPakai::tolak/$1                    | featureMaintenance csrf filterAdmin FilterPimpinan filterKasir filterGudang touchActivity | csrfTokenResponse activityLogger filterAdmin FilterPimpinan filterKasir filterGudang |
| POST   | cari-barang-masuk                                  | »    | \App\Controllers\BarangMasukController::cariBarangMasuk        | featureMaintenance csrf filterAdmin FilterPimpinan filterKasir filterGudang touchActivity | csrfTokenResponse activityLogger filterAdmin FilterPimpinan filterKasir filterGudang |
| POST   | barangkeluar/dokumen-pengiriman                    | »    | \App\Controllers\Barangkeluar::dokumenPengiriman               | featureMaintenance csrf filterAdmin FilterPimpinan filterKasir filterGudang touchActivity | csrfTokenResponse activityLogger                                                     |
| POST   | barangkeluar/simpan-dokumen-pengiriman             | »    | \App\Controllers\Barangkeluar::simpanDokumenPengiriman         | featureMaintenance csrf filterAdmin FilterPimpinan filterKasir filterGudang touchActivity | csrfTokenResponse activityLogger                                                     |
| POST   | barangkeluar/hapus-dokumen-pengiriman              | »    | \App\Controllers\Barangkeluar::hapusDokumenPengiriman          | featureMaintenance csrf filterAdmin FilterPimpinan filterKasir filterGudang touchActivity | csrfTokenResponse activityLogger                                                     |
